2026-04-12 17:54:39.268 [info] Mapped {/common/upload/chunk/merge, POST} route
2026-04-12 17:54:39.268 [info] Mapped {/common/upload/chunk/result, GET} route
2026-04-12 17:54:39.268 [info] Mapped {/common/upload/cos/authorization, GET} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config, POST} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/list, GET} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/:id, GET} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/configKey/:id, GET} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config, PUT} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/refreshCache, DELETE} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/:id, DELETE} route
2026-04-12 17:54:39.269 [info] Mapped {/system/config/export, POST} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept, POST} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept/list, GET} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept/:id, GET} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept/list/exclude/:id, GET} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept, PUT} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dept/:id, DELETE} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dict/type, POST} route
2026-04-12 17:54:39.270 [info] Mapped {/system/dict/type/refreshCache, DELETE} route
2026-04-12 17:54:39.271 [info] Mapped {/system/dict/type/:id, DELETE} route
2026-04-12 17:54:39.271 [info] Mapped {/system/dict/type, PUT} route
2026-04-12 17:54:39.271 [info] Mapped {/system/dict/type/list, GET} route
2026-04-12 17:54:39.271 [info] Mapped {/system/dict/type/optionselect, GET} route
2026-04-12 17:54:39.271 [info] Mapped {/system/dict/type/:id, GET} route
2026-04-12 17:54:39.272 [info] Mapped {/system/dict/data, POST} route
2026-04-12 17:54:39.272 [info] Mapped {/system/dict/data/:id, DELETE} route
2026-04-12 17:54:39.272 [info] Mapped {/system/dict/data, PUT} route
2026-04-12 17:54:39.273 [info] Mapped {/system/dict/data/list, GET} route
2026-04-12 17:54:39.273 [info] Mapped {/system/dict/data/type/:id, GET} route
2026-04-12 17:54:39.273 [info] Mapped {/system/dict/data/:id, GET} route
2026-04-12 17:54:39.273 [info] Mapped {/system/dict/type/export, POST} route
2026-04-12 17:54:39.273 [info] Mapped {/system/dict/data/export, POST} route
2026-04-12 17:54:39.273 [info] Mapped {/system/menu, POST} route
2026-04-12 17:54:39.273 [info] Mapped {/system/menu/list, GET} route
2026-04-12 17:54:39.273 [info] Mapped {/system/menu/treeselect, GET} route
